19:01:45.506 [main] INFO  c.u.e.EnRutaBackendApplication - Starting EnRutaBackendApplication using Java 17.0.12 with PID 15144 (C:\Users\Matt\Documents\GitHub\backend\target\classes started by Matt in C:\Users\Matt\Documents\GitHub\backend)
19:01:45.508 [main] INFO  c.u.e.EnRutaBackendApplication - No active profile set, falling back to 1 default profile: "default"
19:01:56.615 [main] INFO  c.u.e.EnRutaBackendApplication - Started EnRutaBackendApplication in 11.526 seconds (process running for 12.685)
19:12:17.537 [main] INFO  c.u.e.EnRutaBackendApplication - Starting EnRutaBackendApplication using Java 17.0.12 with PID 504 (C:\Users\Matt\Documents\GitHub\backend\target\classes started by Matt in C:\Users\Matt\Documents\GitHub\backend)
19:12:17.540 [main] INFO  c.u.e.EnRutaBackendApplication - No active profile set, falling back to 1 default profile: "default"
19:12:27.397 [main] INFO  c.u.e.EnRutaBackendApplication - Started EnRutaBackendApplication in 10.237 seconds (process running for 11.086)
20:09:15.899 [main] INFO  c.u.e.EnRutaBackendApplication - Starting EnRutaBackendApplication using Java 17.0.12 with PID 16616 (C:\Users\Matt\Documents\GitHub\backend\target\classes started by Matt in C:\Users\Matt\Documents\GitHub\backend)
20:09:15.900 [main] INFO  c.u.e.EnRutaBackendApplication - No active profile set, falling back to 1 default profile: "default"
20:09:24.673 [main] INFO  c.u.e.EnRutaBackendApplication - Started EnRutaBackendApplication in 9.103 seconds (process running for 9.744)
20:29:39.653 [main] INFO  c.u.e.EnRutaBackendApplication - Starting EnRutaBackendApplication using Java 17.0.12 with PID 22736 (C:\Users\Matt\Documents\GitHub\backend\target\classes started by Matt in C:\Users\Matt\Documents\GitHub\backend)
20:29:39.655 [main] INFO  c.u.e.EnRutaBackendApplication - No active profile set, falling back to 1 default profile: "default"
20:29:48.854 [main] INFO  c.u.e.EnRutaBackendApplication - Started EnRutaBackendApplication in 9.488 seconds (process running for 10.113)
20:35:24.366 [main] INFO  c.u.e.EnRutaBackendApplication - Starting EnRutaBackendApplication using Java 17.0.12 with PID 22128 (C:\Users\Matt\Documents\GitHub\backend\target\classes started by Matt in C:\Users\Matt\Documents\GitHub\backend)
20:35:24.368 [main] INFO  c.u.e.EnRutaBackendApplication - No active profile set, falling back to 1 default profile: "default"
20:35:32.748 [main] INFO  c.u.e.EnRutaBackendApplication - Started EnRutaBackendApplication in 8.673 seconds (process running for 9.294)
20:39:17.883 [main] INFO  c.u.e.EnRutaBackendApplication - Starting EnRutaBackendApplication using Java 17.0.12 with PID 20260 (C:\Users\Matt\Documents\GitHub\backend\target\classes started by Matt in C:\Users\Matt\Documents\GitHub\backend)
20:39:17.884 [main] INFO  c.u.e.EnRutaBackendApplication - No active profile set, falling back to 1 default profile: "default"
20:39:26.561 [main] INFO  c.u.e.EnRutaBackendApplication - Started EnRutaBackendApplication in 8.961 seconds (process running for 9.571)
